iter	Passed	Remaining
974	165944	4254
975	166132	4085
976	166317	3915
977	166498	3745
978	166682	3575
979	166866	3405
980	167048	3235
981	167232	3065
982	167436	2895
983	167619	2725
984	167806	2555
985	168006	2385
986	168180	2215
987	168385	2045
988	168563	1874
989	168742	1704
990	168936	1534
991	169178	1364
992	169377	1194
993	169573	1023
994	169759	853
995	169989	682
996	170285	512
997	170488	341
998	170688	170
999	170902	0
